ID,Nombre,Tipo,HP,Ataque,Defensa,Ataque Especial,Defensa Especial,Velocidad,Altura,Peso,Experiencia Base,URL imagen
1,bulbasaur,"['grass', 'poison']",45,49,49,65,65,45,7,69,64,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png
2,ivysaur,"['grass', 'poison']",60,62,63,80,80,60,10,130,142,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png
3,venusaur,"['grass', 'poison']",80,82,83,100,100,80,20,1000,263,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png
4,charmander,['fire'],39,52,43,60,50,65,6,85,62,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png
5,charmeleon,['fire'],58,64,58,80,65,80,11,190,142,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png
6,charizard,"['fire', 'flying']",78,84,78,109,85,100,17,905,267,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png
7,squirtle,['water'],44,48,65,50,64,43,5,90,63,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png
8,wartortle,['water'],59,63,80,65,80,58,10,225,142,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png
9,blastoise,['water'],79,83,100,85,105,78,16,855,265,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png
10,caterpie,['bug'],45,30,35,20,20,45,3,29,39,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png
11,metapod,['bug'],50,20,55,25,25,30,7,99,72,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.png
12,butterfree,"['bug', 'flying']",60,45,50,90,80,70,11,320,198,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png
13,weedle,"['bug', 'poison']",40,35,30,20,20,50,3,32,39,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png
14,kakuna,"['bug', 'poison']",45,25,50,25,25,35,6,100,72,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png
15,beedrill,"['bug', 'poison']",65,90,40,45,80,75,10,295,178,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png
16,pidgey,"['normal', 'flying']",40,45,40,35,35,56,3,18,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png
17,pidgeotto,"['normal', 'flying']",63,60,55,50,50,71,11,300,122,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png
18,pidgeot,"['normal', 'flying']",83,80,75,70,70,101,15,395,216,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png
19,rattata,['normal'],30,56,35,25,35,72,3,35,51,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/19.png
20,raticate,['normal'],55,81,60,50,70,97,7,185,145,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/20.png
21,spearow,"['normal', 'flying']",40,60,30,31,31,70,3,20,52,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/21.png
22,fearow,"['normal', 'flying']",65,90,65,61,61,100,12,380,155,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/22.png
23,ekans,['poison'],35,60,44,40,54,55,20,69,58,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/23.png
24,arbok,['poison'],60,95,69,65,79,80,35,650,157,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/24.png
25,pikachu,['electric'],35,55,40,50,50,90,4,60,112,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/25.png
26,raichu,['electric'],60,90,55,90,80,110,8,300,243,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/26.png
27,sandshrew,['ground'],50,75,85,20,30,40,6,120,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/27.png
28,sandslash,['ground'],75,100,110,45,55,65,10,295,158,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/28.png
29,nidoran-f,['poison'],55,47,52,40,40,41,4,70,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/29.png
30,nidorina,['poison'],70,62,67,55,55,56,8,200,128,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/30.png
31,nidoqueen,"['poison', 'ground']",90,92,87,75,85,76,13,600,253,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/31.png
32,nidoran-m,['poison'],46,57,40,40,40,50,5,90,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/32.png
33,nidorino,['poison'],61,72,57,55,55,65,9,195,128,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/33.png
34,nidoking,"['poison', 'ground']",81,102,77,85,75,85,14,620,253,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/34.png
35,clefairy,['fairy'],70,45,48,60,65,35,6,75,113,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/35.png
36,clefable,['fairy'],95,70,73,95,90,60,13,400,242,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/36.png
37,vulpix,['fire'],38,41,40,50,65,65,6,99,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/37.png
38,ninetales,['fire'],73,76,75,81,100,100,11,199,177,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/38.png
39,jigglypuff,"['normal', 'fairy']",115,45,20,45,25,20,5,55,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/39.png
40,wigglytuff,"['normal', 'fairy']",140,70,45,85,50,45,10,120,218,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/40.png
41,zubat,"['poison', 'flying']",40,45,35,30,40,55,8,75,49,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/41.png
