ID,Nombre,Tipo,Ataque,Ataque Especial,Defensa,Velocidad,Altura,Peso,Defensa Especial,Habilidades,Experiencia Base,Movimientos,URL imagen,Estadísticas Base
1,bulbasaur,"['grass', 'poison']",49,65,49,45,7,69,65,"overgrow, chlorophyll",64,"razor-wind, swords-dance, cut, bind, vine-whip, headbutt, tackle, body-slam, take-down, double-edge, growl, strength, mega-drain, leech-seed, growth, razor-leaf, solar-beam, poison-powder, sleep-powder, petal-dance, string-shot, toxic, rage, mimic, double-team, defense-curl, light-screen, reflect, bide, sludge, skull-bash, amnesia, flash, rest, substitute, snore, curse, protect, sludge-bomb, mud-slap, outrage, giga-drain, endure, charm, false-swipe, swagger, fury-cutter, attract, sleep-talk, return, frustration, safeguard, sweet-scent, synthesis, hidden-power, sunny-day, rock-smash, facade, nature-power, helping-hand, ingrain, knock-off, secret-power, weather-ball, grass-whistle, bullet-seed, magical-leaf, natural-gift, worry-seed, seed-bomb, energy-ball, leaf-storm, power-whip, captivate, grass-knot, venoshock, acid-spray, round, echoed-voice, grass-pledge, work-up, grassy-terrain, confide, grassy-glide, tera-blast, trailblaze",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png,"{'hp': 45, 'attack': 49, 'defense': 49, 'special-attack': 65, 'special-defense': 65, 'speed': 45}"
2,ivysaur,"['grass', 'poison']",62,80,63,60,10,130,80,"overgrow, chlorophyll",142,"swords-dance, cut, bind, vine-whip, headbutt, tackle, body-slam, take-down, double-edge, growl, roar, strength, mega-drain, leech-seed, growth, razor-leaf, solar-beam, poison-powder, sleep-powder, petal-dance, string-shot, toxic, rage, mimic, double-team, defense-curl, light-screen, reflect, bide, amnesia, flash, rest, substitute, snore, curse, protect, sludge-bomb, mud-slap, outrage, giga-drain, endure, charm, false-swipe, swagger, fury-cutter, attract, sleep-talk, return, frustration, safeguard, sweet-scent, synthesis, hidden-power, sunny-day, rock-smash, facade, nature-power, helping-hand, ingrain, knock-off, secret-power, weather-ball, bullet-seed, magical-leaf, natural-gift, worry-seed, seed-bomb, energy-ball, leaf-storm, power-whip, captivate, grass-knot, venoshock, acid-spray, round, echoed-voice, grass-pledge, work-up, grassy-terrain, confide, grassy-glide, tera-blast, trailblaze",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png,"{'hp': 60, 'attack': 62, 'defense': 63, 'special-attack': 80, 'special-defense': 80, 'speed': 60}"
3,venusaur,"['grass', 'poison']",82,100,83,80,20,1000,100,"overgrow, chlorophyll",263,"swords-dance, cut, bind, vine-whip, headbutt, tackle, body-slam, take-down, double-edge, growl, roar, hyper-beam, strength, mega-drain, leech-seed, growth, razor-leaf, solar-beam, poison-powder, sleep-powder, petal-dance, string-shot, earthquake, toxic, rage, mimic, double-team, defense-curl, light-screen, reflect, bide, amnesia, flash, rest, substitute, snore, curse, protect, scary-face, sludge-bomb, mud-slap, outrage, giga-drain, endure, charm, false-swipe, swagger, fury-cutter, attract, sleep-talk, return, frustration, safeguard, sweet-scent, synthesis, hidden-power, sunny-day, rock-smash, facade, nature-power, helping-hand, ingrain, knock-off, secret-power, weather-ball, bullet-seed, block, frenzy-plant, magical-leaf, natural-gift, worry-seed, poison-jab, seed-bomb, energy-ball, earth-power, giga-impact, rock-climb, leaf-storm, power-whip, captivate, grass-knot, venoshock, acid-spray, round, echoed-voice, grass-pledge, bulldoze, work-up, petal-blizzard, grassy-terrain, confide, stomping-tantrum, grassy-glide, terrain-pulse, tera-blast, trailblaze",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png,"{'hp': 80, 'attack': 82, 'defense': 83, 'special-attack': 100, 'special-defense': 100, 'speed': 80}"
4,charmander,['fire'],52,60,43,65,6,85,50,"blaze, solar-power",62,"mega-punch, fire-punch, thunder-punch, scratch, swords-dance, cut, wing-attack, mega-kick, headbutt, body-slam, take-down, double-edge, leer, bite, growl, roar, ember, flamethrower, submission, counter, seismic-toss, strength, dragon-rage, fire-spin, dig, toxic, rage, mimic, double-team, smokescreen, defense-curl, reflect, bide, fire-blast, swift, skull-bash, fury-swipes, rest, rock-slide, slash, substitute, snore, curse, protect, scary-face, belly-drum, mud-slap, outrage, endure, false-swipe, swagger, fury-cutter, attract, sleep-talk, return, frustration, dynamic-punch, dragon-breath, iron-tail, metal-claw, hidden-power, sunny-day, crunch, ancient-power, rock-smash, beat-up, heat-wave, will-o-wisp, facade, focus-punch, helping-hand, brick-break, secret-power, weather-ball, air-cutter, overheat, rock-tomb, aerial-ace, dragon-claw, dragon-dance, natural-gift, fling, flare-blitz, dragon-pulse, dragon-rush, focus-blast, shadow-claw, fire-fang, captivate, hone-claws, flame-burst, flame-charge, round, echoed-voice, incinerate, acrobatics, inferno, fire-pledge, dragon-tail, work-up, confide, power-up-punch, breaking-swipe, tera-blast, temper-flare",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png,"{'hp': 39, 'attack': 52, 'defense': 43, 'special-attack': 60, 'special-defense': 50, 'speed': 65}"
5,charmeleon,['fire'],64,80,58,80,11,190,65,"blaze, solar-power",142,"mega-punch, fire-punch, thunder-punch, scratch, swords-dance, cut, mega-kick, headbutt, body-slam, take-down, double-edge, leer, bite, growl, roar, ember, flamethrower, submission, counter, seismic-toss, strength, dragon-rage, fire-spin, dig, toxic, rage, mimic, double-team, smokescreen, defense-curl, reflect, bide, fire-blast, swift, skull-bash, fury-swipes, rest, rock-slide, slash, substitute, snore, curse, protect, scary-face, belly-drum, mud-slap, outrage, endure, false-swipe, swagger, fury-cutter, attract, sleep-talk, return, frustration, dynamic-punch, dragon-breath, iron-tail, metal-claw, hidden-power, sunny-day, crunch, ancient-power, rock-smash, beat-up, heat-wave, will-o-wisp, facade, focus-punch, helping-hand, brick-break, secret-power, weather-ball, overheat, rock-tomb, aerial-ace, dragon-claw, dragon-dance, natural-gift, fling, flare-blitz, dragon-pulse, dragon-rush, focus-blast, shadow-claw, fire-fang, captivate, hone-claws, flame-burst, flame-charge, round, echoed-voice, incinerate, acrobatics, inferno, fire-pledge, dragon-tail, work-up, confide, power-up-punch, breaking-swipe, tera-blast, temper-flare",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png,"{'hp': 58, 'attack': 64, 'defense': 58, 'special-attack': 80, 'special-defense': 65, 'speed': 80}"
6,charizard,"['fire', 'flying']",84,109,78,100,17,905,85,"blaze, solar-power",267,"mega-punch, fire-punch, thunder-punch, scratch, swords-dance, cut, wing-attack, fly, mega-kick, headbutt, body-slam, take-down, double-edge, leer, bite, growl, roar, ember, flamethrower, hyper-beam, submission, counter, seismic-toss, strength, solar-beam, dragon-rage, fire-spin, earthquake, fissure, dig, toxic, rage, mimic, double-team, smokescreen, defense-curl, reflect, bide, fire-blast, swift, skull-bash, fury-swipes, rest, rock-slide, slash, substitute, snore, curse, protect, scary-face, belly-drum, mud-slap, outrage, sandstorm, endure, false-swipe, swagger, fury-cutter, steel-wing, attract, sleep-talk, return, frustration, dynamic-punch, dragon-breath, iron-tail, metal-claw, hidden-power, twister, sunny-day, crunch, ancient-power, rock-smash, beat-up, heat-wave, will-o-wisp, facade, focus-punch, helping-hand, brick-break, secret-power, blaze-kick, blast-burn, weather-ball, air-cutter, overheat, rock-tomb, aerial-ace, dragon-claw, dragon-dance, roost, natural-gift, tailwind, fling, flare-blitz, air-slash, dragon-pulse, dragon-rush, focus-blast, giga-impact, shadow-claw, fire-fang, defog, captivate, ominous-wind, hone-claws, flame-burst, flame-charge, round, echoed-voice, sky-drop, incinerate, acrobatics, inferno, fire-pledge, bulldoze, dragon-tail, work-up, heat-crash, hurricane, confide, mystical-fire, power-up-punch, brutal-swing, breaking-swipe, scale-shot, dual-wingbeat, scorching-sands, tera-blast, dragon-cheer, temper-flare",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png,"{'hp': 78, 'attack': 84, 'defense': 78, 'special-attack': 109, 'special-defense': 85, 'speed': 100}"
7,squirtle,['water'],48,50,65,43,5,90,64,"torrent, rain-dish",63,"mega-punch, ice-punch, mega-kick, headbutt, tackle, body-slam, take-down, double-edge, tail-whip, bite, mist, water-gun, hydro-pump, surf, ice-beam, blizzard, bubble-beam, submission, counter, seismic-toss, strength, dig, toxic, confusion, rage, mimic, double-team, withdraw, defense-curl, haze, reflect, bide, waterfall, skull-bash, bubble, rest, rock-slide, substitute, snore, curse, flail, protect, mud-slap, foresight, icy-wind, outrage, endure, rollout, false-swipe, swagger, attract, sleep-talk, return, frustration, dynamic-punch, rapid-spin, iron-tail, hidden-power, rain-dance, mirror-coat, rock-smash, whirlpool, fake-out, hail, facade, focus-punch, follow-me, helping-hand, brick-break, yawn, refresh, secret-power, dive, mud-sport, weather-ball, rock-tomb, water-spout, muddy-water, iron-defense, mud-shot, water-pulse, gyro-ball, brine, natural-gift, fling, aqua-ring, aura-sphere, aqua-tail, dragon-pulse, zen-headbutt, captivate, aqua-jet, round, scald, shell-smash, water-pledge, work-up, confide, power-up-punch, liquidation, life-dew, flip-turn, wave-crash, tera-blast, ice-spinner, chilling-water",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png,"{'hp': 44, 'attack': 48, 'defense': 65, 'special-attack': 50, 'special-defense': 64, 'speed': 43}"
8,wartortle,['water'],63,65,80,58,10,225,80,"torrent, rain-dish",142,"mega-punch, ice-punch, mega-kick, headbutt, tackle, body-slam, take-down, double-edge, tail-whip, bite, mist, water-gun, hydro-pump, surf, ice-beam, blizzard, bubble-beam, submission, counter, seismic-toss, strength, dig, toxic, rage, mimic, double-team, withdraw, defense-curl, haze, reflect, bide, waterfall, skull-bash, bubble, rest, rock-slide, substitute, snore, curse, flail, protect, mud-slap, icy-wind, outrage, endure, rollout, false-swipe, swagger, attract, sleep-talk, return, frustration, dynamic-punch, rapid-spin, iron-tail, hidden-power, rain-dance, mirror-coat, rock-smash, whirlpool, fake-out, hail, facade, focus-punch, helping-hand, brick-break, yawn, secret-power, dive, weather-ball, rock-tomb, water-spout, muddy-water, iron-defense, mud-shot, water-pulse, gyro-ball, brine, natural-gift, fling, aqua-ring, aura-sphere, aqua-tail, dragon-pulse, zen-headbutt, captivate, aqua-jet, round, scald, shell-smash, water-pledge, work-up, confide, power-up-punch, liquidation, life-dew, flip-turn, wave-crash, tera-blast, ice-spinner, chilling-water",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png,"{'hp': 59, 'attack': 63, 'defense': 80, 'special-attack': 65, 'special-defense': 80, 'speed': 58}"
9,blastoise,['water'],83,85,100,78,16,855,105,"torrent, rain-dish",265,"mega-punch, ice-punch, mega-kick, headbutt, tackle, body-slam, take-down, double-edge, tail-whip, bite, roar, mist, water-gun, hydro-pump, surf, ice-beam, blizzard, bubble-beam, hyper-beam, submission, counter, seismic-toss, strength, earthquake, fissure, dig, toxic, rage, mimic, double-team, withdraw, defense-curl, haze, reflect, bide, waterfall, skull-bash, bubble, rest, rock-slide, substitute, snore, curse, flail, protect, scary-face, mud-slap, icy-wind, outrage, endure, rollout, false-swipe, swagger, attract, sleep-talk, return, frustration, dynamic-punch, rapid-spin, iron-tail, hidden-power, rain-dance, crunch, mirror-coat, rock-smash, whirlpool, fake-out, hail, facade, focus-punch, helping-hand, brick-break, yawn, secret-power, dive, hydro-cannon, weather-ball, rock-tomb, water-spout, signal-beam, muddy-water, iron-defense, mud-shot, water-pulse, gyro-ball, brine, natural-gift, fling, aqua-ring, aura-sphere, dark-pulse, aqua-tail, dragon-pulse, focus-blast, giga-impact, avalanche, zen-headbutt, flash-cannon, rock-climb, captivate, aqua-jet, smack-down, round, scald, shell-smash, water-pledge, bulldoze, dragon-tail, work-up, confide, power-up-punch, liquidation, body-press, life-dew, terrain-pulse, flip-turn, wave-crash, tera-blast, ice-spinner, chilling-water",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png,"{'hp': 79, 'attack': 83, 'defense': 100, 'special-attack': 85, 'special-defense': 105, 'speed': 78}"
10,caterpie,['bug'],30,20,35,45,3,29,20,"shield-dust, run-away",39,"tackle, string-shot, snore, bug-bite, electroweb",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png,"{'hp': 45, 'attack': 30, 'defense': 35, 'special-attack': 20, 'special-defense': 20, 'speed': 45}"
